"","SistemaId","Data","VolumeTotalHm3","VolumeOperacionalHm3","VolumePorcentagem","VariacaoVolumePorcentagem","VolumeUtil","VolumeMeta","LimiteVolumePorcentagem","Precipitacao","PrecipitacaoAcumuladaNoMes","PMLTMensal","ParcelaPMLT","VazaoJusante","VazaoJusanteMediaNoMes","VazaoJusanteMLT","ParcelaQJusMLT","VazaoNatural","VazaoAfluente","VazaoNaturalMediaNoMes","QMLTMensal","ParcelaQMLT","VazaoProduzida","VazaoProduzidaMediaNoMes","VazaoRetirada","VazaoRetiradaMediaNoMes"
"1",0,"2025-02-28T00:00:00",1097.93586,586.52719,59.72344,-0.05235,982.072,72.5,NA,0,166.85,201.599166,82.7632392090352,3.43,1.69875,13.870654,12.2470793374271,24.04,29.508,56.775,70.5,80.531914893617,30.09,30.631428,30.0726,30.729803
"2",1,"2025-02-28T00:00:00",357.54894,277.90162,49.59789,-0.23639,560.30935,72.5,NA,0.12,180.32,176.6197,102.09506640539,13.05,7.462142,5.088692,146.641651725041,2.927,3.207,32.633,23.16,140.902417962003,14.94,13.954285,14.7363,13.981782
"3",2,"2025-02-28T00:00:00",162.38529,143.45914,83.80038,-0.30529,171.19152,82.5,NA,0,133.2,193.352991,68.8895472012636,0,3.590357,4.607428,77.9254065391798,7.091,7.091,27.76,20.06,138.384845463609,13.07,12.950357,13.14,14.020375
"4",3,"2025-02-28T00:00:00",13.27767,12.58116,76.26271,-0.19374,16.49713,92.5,NA,0.6,98,182.276136,53.7645805702179,5.58,7.253928,3.311764,219.035172796129,5.432,5.432,8.328,2.67,311.910112359551,1.19,1.081428,1.2217,1.114707
"5",4,"2025-02-28T00:00:00",90.0238,87.19914,77.72985,-0.23415,112.18231,92.5,NA,0,146.8,205.12597,71.5657797986281,0,0,3.514814,0,2.023,2.023,11.244,9.92,113.346774193548,4.87,4.931857,5.0633,5.092042
"6",5,"2025-02-28T00:00:00",5.56697,5.4246,39.69148,-0.36582,13.6669,92.5,NA,0,141.4,243.620172,58.0411707450892,1.01,0.559642,0.795867,70.3185331217402,3.008,3.265,5.111,8.12,62.9433497536946,3.4,3.477142,3.5636,3.585571
"7",17,"2025-02-28T00:00:00",129.47836,84.01226,94.58574,0,88.82128,87.5,NA,1.2,164.4,229.805555,71.5387406540281,11.61,25.821071,25.009842,103.243639044181,16.936,16.936,35.451,35.64,99.469696969697,5.41,5.199285,5.3265,5.214528
"8",19,"2025-02-28T00:00:00",0.75918,0.51008,51.59218,-0.32508,0.98867,NA,NA,14,144.9,241.4,60.0248550124275,0.06,0.06,0.166553,36.0245687558915,0.3,0.3,0.424,NA,NA,0.28,0.258571,0.2768,0.259682
"9",99,"2025-02-28T00:00:00",1856.21689,1197.10511,61.55603,-0.13914,1944.74049,75.529,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.457,67.462,177.301,175.168,101.217688162221,72.97,72.225782,73.124,73.738808
